Key	Type	Desc	Українська [c0]
AchievementsLockedDescription/KeyArtCharacter	Text		Одягніться як персонаж з офіційних ілюстрацій
AchievementsLockedDescription/MaxedOutCooking	Text		Отримайте 100 очок Кулінарії
AchievementsLockedDescription/MaxedOutCrafting	Text		Отримайте 100 очок Ремесла
AchievementsLockedDescription/MaxedOutFishing	Text		Отримайте 100 очок Риболовлі
AchievementsLockedDescription/MaxedOutGardening	Text		Отримайте 100 очок Садівництва
AchievementsLockedDescription/MaxedOutMelee	Text		Отримайте 100 очок Ближнього бою
AchievementsLockedDescription/MaxedOutMining	Text		Отримайте 100 очок Видобутку
AchievementsLockedDescription/MaxedOutRange	Text		Отримайте 100 очок Дальнього бою
AchievementsLockedDescription/MaxedOutRunning	Text		Отримайте 100 очок Бігу
AchievementsLockedDescription/MaxedOutVitality	Text		Отримайте 100 очок Живучості
AchievementsLockedDescription/ObtainPhantomSpark	Text		Отримайте Примарну іскру
AchievementsLockedDescription/ObtainRuneSong	Text		Отримайте Пісню рун
AchievementsLockedDescription/ObtainSoulSeeker	Text		Отримайте Шукача душ
AchievementsLockedDescription/ObtainTheOracleDeck	Text		Отримайте колоду карт Оракула
AchievementsLockedDescription/PlantCherryTree	Text		Посадіть 10 вишневих дерев
AchievementsLockedDescription/SitOnCavelingToiletWithACrown	Text		Сядьте на печерний унітаз, одягнувши корону
AchievementsLockedDescription/TalkToBigLarva	Text		Поговоріть з великою личинкою
AchievementsUnlockedDescription/CatchStarlightNautilus	Text		Спіймано зоряний наутилус
AchievementsUnlockedDescription/DefeatAzeos	Text		Переможено Азеоса - Небесного Титана
AchievementsUnlockedDescription/DefeatGhorm	Text		Переможено Горма - Пожирача
AchievementsUnlockedDescription/DefeatGlurch	Text		Переможено Гларча - Огидну Масу
AchievementsUnlockedDescription/DefeatHivemother	Text		Переможено Матір вулика
AchievementsUnlockedDescription/DefeatIgneous	Text		Переможено Ігнеуса - Розплавлену Масу
AchievementsUnlockedDescription/DefeatIvy	Text		Переможено Плюща - Отруйну Масу
AchievementsUnlockedDescription/DefeatKingSlime	Text		Переможено Короля Слизу
AchievementsUnlockedDescription/DefeatMalugaz	Text		Переможено Малугаза Зіпсованого
AchievementsUnlockedDescription/DefeatMorpha	Text		Переможено Морфу - Водну Масу
AchievementsUnlockedDescription/DefeatOmoroth	Text		Переможено Оморота - Морського Титана 
AchievementsUnlockedDescription/DefeatRaAkar	Text		Переможено Ра-Акара - Піщаного Титана
AchievementsUnlockedDescription/Discover100CookBookRecipes	Text		Відкрито 100 рецептів у кулінарній книзі
AchievementsUnlockedDescription/EquipRingOfRockAndStone	Text		Екіпірував Перстень Скелі та Перстень Каменя
AchievementsUnlockedDescription/GainOver200MovementSpeed	Text		Отримав понад 200% швидкості пересування
AchievementsUnlockedDescription/HarvestGoldenIngredient	Text		Зібрали золоту рослину
AchievementsUnlockedDescription/KeyArtCharacter	Text		Одягнувся як персонаж з офіційних ілюстрацій
AchievementsUnlockedDescription/MaxedOutCooking	Text		Отримано 100 очок Кулінарії
AchievementsUnlockedDescription/MaxedOutCrafting	Text		Отримано 100 очок Ремесла
AchievementsUnlockedDescription/MaxedOutFishing	Text		Отримано 100 очок Риболовлі
AchievementsUnlockedDescription/MaxedOutGardening	Text		Отримано 100 очок Садівництва
AchievementsUnlockedDescription/MaxedOutMelee	Text		Отримано 100 очок Ближнього бою
AchievementsUnlockedDescription/MaxedOutMining	Text		Отримано 100 очок Видобутку
AchievementsUnlockedDescription/MaxedOutRange	Text		Отримано 100 очок Дальнього бою
AchievementsUnlockedDescription/MaxedOutRunning	Text		Отримано 100 очок Бігу
AchievementsUnlockedDescription/MaxedOutVitality	Text		Отримано 100 очок Живучості
AchievementsUnlockedDescription/ObtainPhantomSpark	Text		Отримано Примарну іскру
AchievementsUnlockedDescription/ObtainRuneSong	Text		Отримано Пісню рун
AchievementsUnlockedDescription/ObtainSoulSeeker	Text		Отримано Шукача душ
AchievementsUnlockedDescription/ObtainTheOracleDeck	Text		Отримано колоду карт Оракула
AchievementsUnlockedDescription/PlantCherryTree	Text		Посаджено 10 вишневих дерев
AchievementsUnlockedDescription/SitOnCavelingToiletWithACrown	Text		Сів на печерний унітаз, одягнувши корону
AchievementsUnlockedDescription/TalkToBigLarva	Text		Поговорив з великою личинкою
Advanced	Text		Просунутий
AvailableInEarlyAccess	Text		Буде доступно після запуску раннього доступу
BetaVersion	Text	{0} will be replaced by the version number	{0} Бета-версія
BiomeNames/Desert	Text		Пустеля Починань
BiomeNames/Larva	Text		Глиняні Печери
BiomeNames/Nature	Text		Хащі Азеоса
BiomeNames/Sea	Text		Затонуле море
BiomeNames/Slime	Text		Підземелля
BiomeNames/Stone	Text		Забуті Руїни
BreastVanitySlot	Text		Нагрудна кишеня
CardinalDirections/East	Text		схід
CardinalDirections/North	Text		північ
CardinalDirections/NorthEast	Text		північний схід
CardinalDirections/NorthWest	Text		північний захід
CardinalDirections/South	Text		південь
CardinalDirections/SouthEast	Text		південний схід
CardinalDirections/SouthWest	Text		південний захід
CardinalDirections/Undefined	Text		невизначений
CardinalDirections/West	Text		захід
CasualMode	Text		Випадковий
CasualModeDesc	Text		Зустріньтеся з лагідними монстрами у невимушеній, приємній обстановці.
CattleStatus/Full	Text		Тварина дуже щаслива, сита і продуктивна.
CattleStatus/HungryCattlePlantFood	Text		Тварина голодна, хоче з'їсти якусь рослину.
CattleStatus/HungryInsect	Text		Тварина голодна, хоче з'їсти якусь комашку.
CattleStatus/MediumHungry	Text		Тварина щаслива, сита і дає приплід.
CattleStatus/NameFull	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} дуже щаслива, сита і продуктивна.
CattleStatus/NameHungryCattlePlantFood	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} голодна, хоче з'їсти якусь рослину.
CattleStatus/NameHungryInsect	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} голодна, хоче з'їсти якусь комашку.
CattleStatus/NameMediumHungry	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} щаслива, сита і дає приплід.
CombineMaterials	Text		Об'єднати матеріали
ConditionEffect/ApplyBurning	Text		{0} шкода від опіків
ConditionEffect/ApplyDamageEverySecond	Text		{0} шкоди щосекунди
ConditionEffect/ApplyPoisoned	Text		Отрєний, отримуване зцілення зменшено на 75%
ConditionEffect/ApplySlowedBySlime	Text		Уповільнює швидкість пересування цілі на {0}% на 4 сек
ConditionEffect/Armor	Text		{0} броня
ConditionEffect/ArmorPercentage	Text		{0}% броні
ConditionEffect/ChanceOnHitToKnockback	Text		{0}% шанс відкинути
ConditionEffect/ChanceToGainExtraCookedFood	Text		{0}% шанс приготувати додаткову порцію
ConditionEffect/CritChance	Text		{0}% шанс критичного удару
ConditionEffect/CriticalDamagePercentage	Text		{0}% шкоди від критичного удару
ConditionEffect/DamageEverySecond	Text		{0} шкоди щосекунди
ConditionEffect/DamageEveryThirdSecond	Text		{0} шкоди кожну третю секунду
ConditionEffect/DodgeChance	Text		{0}% шанс ухилення
ConditionEffect/ExplosivesDamage	Text		{0}% шкоди від вибухівки
ConditionEffect/Fishing	Text		{0} риболовля
ConditionEffect/Glowing	Text		{0} світіння
ConditionEffect/HarvestChance	Text		{0}% шанс додаткового врожаю
ConditionEffect/HealOverTime	Text		{0} здоров'я щосекунди
ConditionEffect/Health	Text		{0} здоров'я
ConditionEffect/Hunger	Text		{0} їжа
ConditionEffect/ImmuneToSlimeSlow	Text		Імунітет до уповільнення слизом
ConditionEffect/LifeOnHit	Text		{0} здоров'я при ударі в ближньому бою
ConditionEffect/MaxHealth	Text		{0} максимальне здоров'я
ConditionEffect/MeleeAttackSpeed	Text		{0}% швидкості ближнього бою
ConditionEffect/MeleeDamage	Text		{0}% шкоди в ближньому бою
ConditionEffect/Mining	Text		{0} шкода видобутку
ConditionEffect/MiningSpeed	Text		{0}% швидкості видобутку
ConditionEffect/MovementSpeed	Text		{0}% швидкості пересування
ConditionEffect/Poisoned	Text		Отримано 75% зменшеного зцілення
ConditionEffect/RangeAttackSpeed	Text		{0}% швидкості дальнього бою
ConditionEffect/RangeDamage	Text		{0}% шкоди дальнього бою
ConditionEffect/ReducedDamageFromBosses	Text		{0}% зменшення шкоди від боса
ConditionEffect/ThornsDamage	Text		{0} шкоди від колючок
ConditionEffectDesc/ApplyBurning	Text		Накладає опіки на ворогів, яких ви атакуєте. Ефект опіків завдає ворогу {0} шкоди кожну секунду.
ConditionEffectDesc/Armor	Text		Зменшує отриману шкоду максимум до {0}. Вороги завжди наносять мінімум 25% своєї шкоди.
ConditionEffectDesc/ChanceOnHitToKnockback	Text		Атаки ближнього бою мають {0}% шанс відкинути ворога.
ConditionEffectDesc/ChanceToGainExtraCookedFood	Text		Виймання їжі з казана має {0}% шанс отримати додаткову їжу за кожну дістану.
ConditionEffectDesc/CritChance	Text		Атаки мають {0}% шанс завдати 50% додаткової шкоди.
ConditionEffectDesc/CriticalDamagePercentage	Text		Критичні удари завдають на {0}% більше шкоди. Базова шкода від критичного удару становить 50%.
ConditionEffectDesc/DodgeChance	Text		{0}% шанс ухилитися від будь-якої атаки. Максимальний шанс ухилитися - 90%.
ConditionEffectDesc/ExplosivesDamage	Text		Вибухівка завдає на {0}% більше шкоди.
ConditionEffectDesc/Fishing	Text		Вища риболовля дозволяє ловити рибу на більш високих рівнях, а також полегшує її вилов.
ConditionEffectDesc/Glowing	Text		Випускає сяйво, що поширюється на {0} тайлів убік.
ConditionEffectDesc/HarvestChance	Text		Збирання врожаю має {0}% шанс отримати 1 додаткову рослину.
ConditionEffectDesc/HealOverTime	Text		Отримує {0} здоров'я щосекунди.
ConditionEffectDesc/LifeOnHit	Text		Отримує {0} здоров'я, коли вражає ворога атакою ближнього бою.
ConditionEffectDesc/MaxHealth	Text		Максимальна кількість здоров'я - {0}.
ConditionEffectDesc/MeleeAttackSpeed	Text		Ви б'єте на {0}% швидше зі зброї ближнього бою.
ConditionEffectDesc/MeleeDamage	Text		Атаки ближнього бою завдають {0}-{1} шкоди.
ConditionEffectDesc/Mining	Text		Завдає {0} шкоди стінам і об'єктам, які потребують видобутку для знищення.
ConditionEffectDesc/MiningSpeed	Text		Ви б'єте киркою на {0}% швидше.
ConditionEffectDesc/MovementSpeed	Text		Пересувається зі швидкістю {0}% від базової швидкості.
ConditionEffectDesc/RangeAttackSpeed	Text		Ви стріляєте на {0}% швидше з дальньої зброї.
ConditionEffectDesc/RangeDamage	Text		Атаки дальнього бою завдають {0}-{1} шкоди.
ConditionEffectDesc/ReducedDamageFromBosses	Text		Зменшує шкоду від босів на {0}%.
ConditionEffectDesc/ThornsDamage	Text		Атакуючі в ближньому бою отримують {0} шкоди під час атаки.
Conditions/AcidDamage	Text		{0} шкоди від кислоти щосекунди, ігнорує броню
Conditions/AdditionalChanceOnCritToSpawnThunderBeam	Text		{0}% додатковий шанс викликати силу душі Азеоса
Conditions/AdditionalChanceOnHitToSpawnScarabBossProjectile	Text		{0}% додатковий шанс викликати силу душі Ра-Акара
Conditions/AdditionalChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% додатковий шанс викликати силу душі Оморота
Conditions/AllDamageIncrease	Text		{0}% шкоди
Conditions/ApplyBurning	Text		{0} шкода від опіків, що наноситься при попаданні
Conditions/ApplySlipperyMovementWhenHit	Text		Атакуючі в ближньому бою стають слизькими, коли атакують вас
Conditions/ApplySlowedBySlime	Text		Уповільнює швидкість пересування цілей на {0}% на 4 сек
Conditions/ArmorIncrease	Text	"Text shown on gear stat or buff, for example ""+45 armor"" where {0} is replaced with the number"	{0} броня
Conditions/ArmorIncreaseFromMovementSpeed	Text		{0}% збільшення броні від поточної швидкості пересування
Conditions/ArmorPercentageIncrease	Text		{0}% броні
Conditions/AttackSpeed	Text		{0}% швидкості ближньої та дальньої атаки
Conditions/AuraApplyBurning	Text		Усі вороги поблизу горять на {0} шкоди кожну секунду
Conditions/AuraApplyDamageDecrease	Text		{0}% шкоди, що завдається всіма ворогами поблизу
Conditions/AuraApplyDamageIncrease	Text		{0}% шкоди, що наноситься вами і всіма союзниками поблизу
Conditions/AuraApplyHealingOverTime	Text		{0} здоров'я щосекунди вам і всім союзникам поблизу
Conditions/AuraApplyMovementSpeedDecrease	Text		Швидкість пересування всіх ворогів поблизу сповільнюється на {0}%.
Conditions/AuraApplyRadioactiveDamageOverTime	Text		Всі вороги поблизу отримують {0} радіоактивної шкоди щосекунди
Conditions/AuraMovementSpeedDecrease	Text		{0}% швидкості пересування від аури поблизу
Conditions/AuraRadioactiveDamageOverTime	Text		{0} радіоактивної шкоди щосекунди
Conditions/BlueGlow	Text	"Description for items that make player glow when eating it. For example ""+5 glow"" where +5 refers to the intensity/range of the light"	{0} синє світіння
Conditions/Burning	Text		{0} шкоди від опіків кожну секунду
Conditions/ChanceForAdditionalOre	Text		{0}% шанс отримати додаткову руду зі стін, що містять руду
Conditions/ChanceForExtraCookedFoodToBeRare	Text		{0}% ймовірність того, що додаткова їжа, отримана при приготуванні їжі, буде рідкісною
Conditions/ChanceForOreOnMiningWall	Text		{0}% шанс отримати руду, яка є поширеною в поточній стіні, при руйнуванні стіни
Conditions/ChanceForPolishedJewelry	Text		{0}% шанс отримати відполіровану версію будь-якого предмета, створеного на ювелірному верстаті
Conditions/ChanceForRandomLootFromWall	Text		{0}% шанс випадання цінного предмета з будь-якої видобутої стіни
Conditions/ChanceOnCritToSpawnThunderBeam	Text		{0}% шанс генерувати грозовий промінь при критичних ударах в ближньому бою
Conditions/ChanceOnHitToApplySlipperyMovement	Text		{0}% шанс при попаданні застосувати слизький рух
Conditions/ChanceOnHitToGainMeleeAttackSpeed	Text		{0}% шанс при ударі в ближньому бою ненадовго збільшити швидкість атаки ближнього бою на 50%
Conditions/ChanceOnHitToIncreaseRangeDamage	Text		{0}% шанс при ударі в ближньому бою збільшити шкоду від дальнього бою на 15%
Conditions/ChanceOnHitToKillTargetWithLowerHealth	Text		{0}% шанс вбити ціль при попаданні, якщо в неї менше здоров'я ніж у вас
Conditions/ChanceOnHitToKnockback	Text		{0}% шанс відкинути
Conditions/ChanceOnHitToSpawnScarabBossProjectile	Text		{0}% шанс при ударі в ближньому або дальньому бою породити стародавню кулю, яка слідує за ураженою ціллю і завдає їй шкоди при ударі
Conditions/ChanceOnKillToSummonGhost	Text		{0}% шанс викликати Печерну Примару, при вбивстві будь-якого ворога
Conditions/ChanceOnMeleeHitToStun	Text		{0}% шанс оглушити ціль при ударі в ближньому бою
Conditions/ChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% шанс викликати торнадо при дальньому ударі
Conditions/ChanceOnRangeShotToApplySlowedBySlime	Text		20% шанс сповільнити ціль на {0}% при дальньому ударі
Conditions/ChanceOnRangeShotToStun	Text		{0}% шанс оглушити ціль при дальньому ударі
Conditions/ChanceOnShotToGainCriticalHitChance	Text		{0}% шанс при дальньому ударі ненадовго збільшити шанс критичного удару на 100%
Conditions/ChanceOnShotToIncreaseMeleeDamage	Text		{0}% шанс при дальньому ударі збільшити шкоду від ближнього бою на 15%
Conditions/ChanceToApplyCharmed	Text		Зачарувати ціль на 20 сек
Conditions/ChanceToApplyPoisonOnBlock	Text		{0}% шанс застосувати отруту при блокуванні ударів ближнього бою, зменшує отримуване ворогом зцілення на 75
Conditions/ChanceToApplyPoisoned	Text		{0}% шанс застосувати отруту при попаданні, зменшує отримуване ворогом зцілення на 75
Conditions/ChanceToConsumeBurning	Text		{0}% шанс при попаданні поглинути ефект горіння цілі та негайно нанести їй загальну шкоду від горіння
Conditions/ChanceToDealTripleDamage	Text		{0}% шанс при попаданні нанести потрійну кількість шкоди
Conditions/ChanceToGainExtraCookedFood	Text		{0}% шанс приготувати додаткову порцію
Conditions/ChanceToGainExtraItemFromAlchemy	Text		{0}% шанс отримати додатковий предмет при створенні будь-якого предмета за алхімічним столом або на винокурні
Conditions/ChanceToGainExtraItemFromBaseBuilding	Text		{0}% шанс отримати додатковий предмет при створенні будь-якої стіни, підлоги, мосту або огорожі
Conditions/ChanceToGainRarePlant	Text		{0}% шанс, що посаджені вами рослини стануть золотими
Conditions/ChanceToGetDoubleFish	Text		{0}% шанс отримати подвійну рибу під час вилову риби
Conditions/ChanceToNotConsumeWaterCan	Text		{0}% шанс не витратити воду при використанні лійки
Conditions/ChanceToRestoreHealthOnMeleeHit	Text		10% шанс відновити {0}% здоров'я при ударі в ближньому бою
Conditions/ChanceToShootShockWaveOnBlock	Text		{0}% шанс при блокуванні випустити енергетичну ударну хвилю, що завдає шкоди, яка дорівнює тій, що була заблокована
Conditions/CheatDeath	Text		{0}% шанс відновити трохи здоров'я замість померти, після отримання смертельної шкоди
Conditions/CritChance	Text		{0}% шанс критичного удару
Conditions/CritDamageIncreaseAgainstBurning	Text		{0}% шкоди від критичного удару по палаючих цілях
Conditions/CriticalDamagePercentageIncrease	Text		{0}% шкоди від критичного удару
Conditions/DamageIncreaseAgainstBurning	Text		{0}% шкоди від палаючих цілей
Conditions/DamageIncreaseAgainstPoisoned	Text		{0}% шкоди по отруєних цілях
Conditions/DamageIncreaseAgainstStunned	Text		{0}% шкоди по оглушених цілях
Conditions/DamageIncreaseFromRunning	Text		{0}% шкоди від бігу
Conditions/DealAoeFireDamageOnBlock	Text		Завдає {0} шкоди всім супротивникам поблизу при блокуванні щитом
Conditions/DiggingIncrease	Text		{0} шкоди від копання
Conditions/DodgeChance	Text		{0}% шанс ухилення
Conditions/DodgeIncreaseFromStandingStill	Text		{0} % шанс ухилення при стоянні
Conditions/DrainLessHunger	Text		{0}% менше ситності втрачається під час бігу
Conditions/EquipmentDurabilityLastsLonger	Text		{0}% шанс не втратити міцність спорядження при отриманні шкоди
Conditions/ExtraHarvestChance	Text		{0}% шанс додаткового врожаю
Conditions/FishBitesFaster	Text		Риба клює на {0}% швидше
Conditions/FishStartsCloserToBeReeledIn	Text		Риба починає підсікатися на {0}% ближче
Conditions/GainArmorAtLowHealth	Text		{0}% броні при низькому рівні здоров'я
Conditions/GainAttackSpeedBoostAfterDodge	Text		{0}% швидкість атаки ближнього та дальнього бою на короткий час після ухилення
Conditions/GainAttackSpeedFromMissingHealth	Text		Швидкість атаки збільшується на 0,2% за кожен відсоток відсутнього здоров'я
Conditions/GainCriticalHitChanceFromStandingStill	Text		{0}% шанс критичного удару після нетривалого стояння на місці
Conditions/GainDamageIncreaseAfterMining	Text		{0}% шкоди на короткий час після видобутку стін
Conditions/GainDamageIncreaseAtLowHealth	Text		{0}% шкоди при низькому рівні здоров'я
Conditions/GainDamageIncreaseAtMaxHealth	Text		{0}% шкоди при максимальному рівні здоров'я
Conditions/GainDamageIncreaseFromRunning	Text		{0}% шкоди після нетривалого безперервного бігу
Conditions/GainDodgeIncreaseWhileStandingStill	Text		{0}% шанс ухилення після нетривалого стояння на місці
Conditions/GainExtraIndustryItems	Text		{0} додаткових предметів, отриманих при створенні рейок, дротів або конвеєрних стрічок.
Conditions/GainHealthRegenWhileBelowHalfHealth	Text		Отримувати {0} здоров'я щосекунди, поки рівень здоров'я нижче половини
Conditions/GainIncreasedBossDamageFromEatingFish	Text		{0}% шкоди босам після з'їденої риби або приготованої з неї їжі
Conditions/GainIncreasedMaxHealthFromAllSkillPoints	Text		{0}% від усіх очок додається до максимального запасу здоров'я
Conditions/GainMeleeAttackSpeedFromCookedFood	Text		{0}% швидкості атаки ближнього бою від поїдання приготованої їжі
Conditions/GainMeleeDamageFromHitting	Text		Отримуйте 2% до шкоди від ближнього бою після кожного удару по ворогу, додається до {0} разів
Conditions/GainMeleeDamageIncreaseFromHittingSameTarget	Text		Отримати {0}% до шкоди від ближнього бою, коли поспіль вражаєте одну й ту саму ціль
Conditions/GainMoreFoodFromCookedFood	Text		{0}% ситності від приготованої їжі
Conditions/GainMoreFoodFromPlants	Text		{0}% ситності від поїдання рослин або приготовленої з них їжі
Conditions/GainMovementSpeedFromRunningConsistently	Text		{0}% швидкості пересування після нетривалого послідовного бігу
Conditions/GainRangeDamageFromShooting	Text		Отримуйте 2% до шкоди від дальнього бою після кожного пострілу по ворогу, додається до {0} разів
Conditions/GainRangeDamageIncreaseFromStandingStill	Text		{0}% шкоди дальнього бою після нетривалого стояння
Conditions/GodMode	Text		Ви перебуваєте в режимі бога
Conditions/HealOverTime	Text	"For example ""+5 health every second"""	{0} здоров'я щосекунди
Conditions/HealOverTimePercentage	Text	"For example ""+5% health every second"""	{0}% здоров'я щосекунди
Conditions/HealingPotionAddHealOverTime	Text		Цілющі зілля додатково, з часом, зцілюють {0}% здоров'я, отриманого від зілля
Conditions/HealthAddition	Text	{0} will be replaced by +10 for example so it says +10 health which can appear on an item description	{0} здоров'я
Conditions/HealthAdditionPercentage	Text		{0}% здоров'я
Conditions/HealthReduction	Text		{0} здоров'я
Conditions/HungerAddition	Text		{0} ситності
Conditions/ImmuneToAcid	Text		Імунітет до пошкодження кислотою
Conditions/ImmuneToBurning	Text		Імунітет до горіння
Conditions/ImmuneToDamageAfterRespawn	Text		Імунітет до пошкоджень
Conditions/ImmuneToMold	Text		Імунітет до зараження цвіллю
Conditions/ImmuneToPoison	Text		Імунітет до отрути
Conditions/ImmuneToSlimeSlow	Text		Несприйнятливість до сповільнення слизом
Conditions/ImmuneToSlipperyMovement	Text		Несприйнятливість до слизького пересування
Conditions/ImmuneToStun	Text		Імунітет до оглушення
Conditions/IncreaseCritChanceAfterPoisonApply	Text		{0}% шанс критичного удару на короткий час після успішного застосування отрути
Conditions/IncreasedAppliedStunDuration	Text		{0}% більша тривалість оглушення
Conditions/IncreasedArmorPercentageWhileAdjacentToWater	Text		{0}% броні, коли перебуває біля води
Conditions/IncreasedBoatSpeed	Text		{0}% швидкість човна
Conditions/IncreasedChanceForHigherRarityFish	Text		{0}% шанс на клювання більш рідкісної риби
Conditions/IncreasedChanceToGetFish	Text		{0}% шанс зловити рибу на гачок
Conditions/IncreasedChanceToGetFishLoot	Text		{0}% шанс отримати цінний або інший нерибний предмет на гачок під час риболовлі
Conditions/IncreasedCharmDuration	Text		{0}% більша тривалість застосованих чарівних ефектів
Conditions/IncreasedDamageAgainstBosses	Text		{0}% шкоди проти босів
Conditions/IncreasedDamageBasedOnTargetRemainingHealth	Text		Наносити до {0}% більше шкоди залежно від залишку здоров'я цілі
Conditions/IncreasedDashDuration	Text		на {0}% довший час спринту
Conditions/IncreasedExplosivesDamage	Text		{0}% шкоди від вибухівки
Conditions/IncreasedFishing	Text		{0} риболовля
Conditions/IncreasedHealthRegenEffectiveness	Text		{0}% більше зцілення здоров'я з часом регенерації
Conditions/IncreasedMaxHealth	Text		{0} максимальне здоров'я
Conditions/IncreasedMaxHealthPermanent	Text		{0} максимальне здоров'я
Conditions/IncreasedPickUpRadius	Text		{0}% радіус захоплення
Conditions/IncreasedRodRange	Text		{0}% дальність закидання вудки
Conditions/InfectedWithMold	Text		{0}% швидкості пересування, дедалі більше сповільнює пересування від зараження пліснявою
Conditions/KillsIncreaseCritChance	Text		Вбивство ворога збільшує шанс критичного удару на 3%, збільшується до 5 разів
Conditions/KingOfSlimes	Text		Ви - король слизу
Conditions/LarvaDisguise	Text		Замаскований під личинку
Conditions/LifeOnHit	Text		{0} життя при ударі в ближньому бою
Conditions/LongerCookedFoodBuffs	Text		На {0}% довше ефект ситості від приготованої їжі
Conditions/LookLikeGhost	Text		Виглядаєш як привид
Conditions/Love	Text		Дарує вам теплі відчуття.
Conditions/MeleeAttackSpeedIncrease	Text		{0}% швидкість атаки ближнього бою
Conditions/MeleeDamageIncrease	Text	{0} will be replaced by +10 for example so it says +10 damage which can appear on an item description	{0}% шкоди в ближньому бою
Conditions/MiningIncrease	Text		{0} шкоди від видобутку
Conditions/MiningPercentageIncrease	Text		{0}% шкоди від видобутку
Conditions/MiningSpeedIncrease	Text		{0}% швидкості видобутку
Conditions/MovementSpeedBoostAfterDodge	Text		{0}% збільшення швидкості пересування на короткий час після ухилення від атаки
Conditions/MovementSpeedBoostAfterMining	Text		{0}% збільшення швидкості пересування на короткий час після видобутку стіни
Conditions/MovementSpeedDecrease	Text		{0}% швидкості пересування
Conditions/MovementSpeedIncrease	Text		{0}% швидкості пересування
Conditions/MovementSpeedIncreaseFromRunningConsistently	Text		{0} швидкість пересування від тривалого бігу
Conditions/OrangeGlow	Text		{0} світіння
Conditions/PercentageOfFishingAsRange	Text		{0}% шкоди від риболовлі додається до шкоди від дальнього бою
